#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1435348	852265	856484	32682	36519	YBL016W	YHR084W	FUS3	STE12	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	homeodomain family transcription factor STE12|L000002119	Phenotypic Suppression	genetic	Kim J (2015)	26640955	559292	559292	Low Throughput	-	-	protein activity:wild type	Figure 6|STE12 deletion suppresses elevated expression of FRE (filamentation response element) in elm1 fus3 double mutant|genetic complex	-	BIOGRID
2355471	852265	854042	32682	34293	YBL016W	YOL108C	FUS3	INO4	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	L000000869	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	2.52	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2355473	852265	853650	32682	33937	YBL016W	YKL185W	FUS3	ASH1	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	DNA-binding transcription repressor ASH1|L000003058	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	2.3	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2357185	852265	855522	32682	35635	YBL016W	YNL199C	FUS3	GCR2	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	L000000691	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-3.9	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2357563	852265	850429	32682	31041	YBL016W	YCR065W	FUS3	HCM1	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	L000000757	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	5.02	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2357747	852265	855964	32682	36043	YBL016W	YPL139C	FUS3	UME1	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	WTM3|L000003500	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	4.27	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2359311	852265	854675	32682	34860	YBL016W	YIL131C	FUS3	FKH1	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	forkhead family transcription factor FKH1|L000002607	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-2.81	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
322616	852224	851724	32643	32200	YBL056W	YDR146C	PTC3	SWI5	type 2C protein phosphatase PTC3|L000003426	DNA-binding transcription factor SWI5|L000002253	Positive Genetic	genetic	Fiedler D (2009)	19269370	559292	559292	High Throughput	2.454026	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
197765	852351	855704	32763	35799	YBR059C	YNL027W	AKL1	CRZ1	serine/threonine protein kinase AKL1|S000007479	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
357268	852351	854042	32763	34293	YBR059C	YOL108C	AKL1	INO4	serine/threonine protein kinase AKL1|S000007479	L000000869	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2351	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
910382	852351	854042	32763	34293	YBR059C	YOL108C	AKL1	INO4	serine/threonine protein kinase AKL1|S000007479	L000000869	Negative Genetic	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.2351	-	colony size|vegetative growth	score threshold <= -0.12, interaction detected by Synthetic Genetic Array (SGA)	-	BIOGRID
2080904	852394	851905	32803	32363	YBR097W	YDR310C	VPS15	SUM1	GRD8|VAC4|VPL19|VPS40|VPT15|ubiquitin-binding serine/threonine protein kinase VPS15|L000002470|L000002924|S000029641|L000002480	L000003008	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1385	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: vps15 - sum1 [SGA score = -0.1385, P-value = 4.66E-85]	-	BIOGRID
520632	850334	855704	30960	35799	YCL024W	YNL027W	KCC4	CRZ1	-	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Reconstituted Complex	physical	Fasolo J (2011)	21460040	559292	559292	High Throughput	-	-	-	High Throughput: Proteome microarrays were used to identify proteins that interact with protein kinases.	-	BIOGRID
322341	850366	850429	30987	31041	YCR008W	YCR065W	SAT4	HCM1	HAL4|serine/threonine protein kinase SAT4|L000004136	L000000757	Positive Genetic	genetic	Fiedler D (2009)	19269370	559292	559292	High Throughput	2.294233	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
323983	850429	853350	31041	33662	YCR065W	YJL095W	HCM1	BCK1	L000000757	LAS3|SAP3|SLK1|SSP31|mitogen-activated protein kinase kinase kinase BCK1|L000000162	Positive Genetic	genetic	Fiedler D (2009)	19269370	559292	559292	High Throughput	2.436342	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
325384	850429	855409	31041	35532	YCR065W	YNL307C	HCM1	MCK1	L000000757	CMS1|YPK1|serine/threonine/tyrosine protein kinase MCK1|L000001036|S000029094|L000000369	Negative Genetic	genetic	Fiedler D (2009)	19269370	559292	559292	High Throughput	-3.28594	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
510283	850429	853718	31041	33997	YCR065W	YKL139W	HCM1	CTK1	L000000757	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Zheng J (2010)	20959818	559292	559292	High Throughput	-5.215855045	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (epistatic or suppressor interactions) and S score < -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
542693	850429	852265	31041	32682	YCR065W	YBL016W	HCM1	FUS3	L000000757	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	Positive Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	2.019909	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
200504	850436	856366	31048	36403	YCR073C	YHL020C	SSK22	OPI1	mitogen-activated protein kinase kinase kinase SSK22|L000002827	transcriptional regulator OPI1|L000001303	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
365172	851558	853523	32048	33817	YDL006W	YJR060W	PTC1	CBF1	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	CEP1|CPF1|CP1|L000000311|L000000401	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2552	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
541370	851558	850429	32048	31041	YDL006W	YCR065W	PTC1	HCM1	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	L000000757	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-4.179455	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2088553	851558	850429	32048	31041	YDL006W	YCR065W	PTC1	HCM1	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	L000000757	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1584	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: ptc1 - hcm1 [SGA score = -0.1584, P-value = 9.315E-6]	-	BIOGRID
2088560	851558	851905	32048	32363	YDL006W	YDR310C	PTC1	SUM1	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	L000003008	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1979	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: ptc1 - sum1 [SGA score = -0.1979, P-value = 2.769E-5]	-	BIOGRID
2088598	851558	853523	32048	33817	YDL006W	YJR060W	PTC1	CBF1	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	CEP1|CPF1|CP1|L000000311|L000000401	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.2361	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: ptc1 - cbf1 [SGA score = -0.2361, P-value = 6.92E-11]	-	BIOGRID
2088653	851558	854540	32048	34743	YDL006W	YOR358W	PTC1	HAP5	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	L000003021	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1223	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: ptc1 - hap5 [SGA score = -0.1223, P-value = 0.02167]	-	BIOGRID
2202271	851558	853334	32048	33646	YDL006W	YJL110C	PTC1	GZF3	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	DEH1|NIL2|L000002858|L000003382	Dosage Rescue	genetic	Tatjer L (2016)	27169355	559292	559292	Low Throughput	-	-	resistance to chemicals|vegetative growth	Table 1	-	BIOGRID
309620	851542	853718	32035	33997	YDL020C	YKL139W	RPN4	CTK1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Wilmes GM (2008)	19061648	559292	559292	High Throughput	-9.620966	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
364750	851542	856478	32035	36513	YDL020C	YHR079C	RPN4	IRE1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	ERN1|bifunctional endoribonuclease/protein kinase IRE1|L000000875	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.3342	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
454541	851542	856478	32035	36513	YDL020C	YHR079C	RPN4	IRE1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	ERN1|bifunctional endoribonuclease/protein kinase IRE1|L000000875	Synthetic Growth Defect	genetic	Pan X (2006)	16487579	559292	559292	High Throughput	-	-	vegetative growth	confirmed by RSA	-	BIOGRID
454545	851542	855409	32035	35532	YDL020C	YNL307C	RPN4	MCK1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	CMS1|YPK1|serine/threonine/tyrosine protein kinase MCK1|L000001036|S000029094|L000000369	Synthetic Growth Defect	genetic	Pan X (2006)	16487579	559292	559292	High Throughput	-	-	vegetative growth	confirmed by RSA	-	BIOGRID
454559	851542	850366	32035	30987	YDL020C	YCR008W	RPN4	SAT4	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	HAL4|serine/threonine protein kinase SAT4|L000004136	Synthetic Growth Defect	genetic	Pan X (2006)	16487579	559292	559292	High Throughput	-	-	vegetative growth	confirmed by RSA	-	BIOGRID
454564	851542	852088	32035	32529	YDL020C	YDR477W	RPN4	SNF1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Synthetic Growth Defect	genetic	Pan X (2006)	16487579	559292	559292	High Throughput	-	-	vegetative growth	confirmed by RSA	-	BIOGRID
455094	851542	853718	32035	33997	YDL020C	YKL139W	RPN4	CTK1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Synthetic Lethality	genetic	Pan X (2006)	16487579	559292	559292	High Throughput	-	-	inviable	synthetic growth defect confirmed by RSA and synthetic lethality confirmed by tetrad analysis	-	BIOGRID
460623	851542	855256	32035	35394	YDL020C	YMR216C	RPN4	SKY1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	serine/threonine protein kinase SKY1|L000003941	Phenotypic Suppression	genetic	Jonikas MC (2009)	19325107	559292	559292	High Throughput	-	-	protein/peptide accumulation	-	-	BIOGRID
508951	851542	853718	32035	33997	YDL020C	YKL139W	RPN4	CTK1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Zheng J (2010)	20959818	559292	559292	High Throughput	-9.430023267	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (epistatic or suppressor interactions) and S score < -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
540875	851542	852265	32035	32682	YDL020C	YBL016W	RPN4	FUS3	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	DAC2|mitogen-activated serine/threonine-protein kinase FUS3|L000000655	Positive Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	3.17477	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
542885	851542	850366	32035	30987	YDL020C	YCR008W	RPN4	SAT4	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	HAL4|serine/threonine protein kinase SAT4|L000004136	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.811198	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2088823	851542	856478	32035	36513	YDL020C	YHR079C	RPN4	IRE1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	ERN1|bifunctional endoribonuclease/protein kinase IRE1|L000000875	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.3418	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: rpn4 - ire1 [SGA score = -0.3418, P-value = 2.275E-16]	-	BIOGRID
2088834	851542	853718	32035	33997	YDL020C	YKL139W	RPN4	CTK1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1717	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: rpn4 - ctk1-supp1 [SGA score = -0.1717, P-value = 0.001896]	-	BIOGRID
2396881	851542	852088	32035	32529	YDL020C	YDR477W	RPN4	SNF1	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Synthetic Growth Defect	genetic	Yao Y (2015)	25629410	559292	559292	Low Throughput	-	-	vegetative growth	-	-	BIOGRID
2088927	851536	854042	32030	34293	YDL025C	YOL108C	RTK1	INO4	putative serine/threonine protein kinase RTK1	L000000869	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1255	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: rtk1 - ino4 [SGA score = -0.1255, P-value = 0.02731]	-	BIOGRID
645221	851513	856366	32011	36403	YDL047W	YHL020C	SIT4	OPI1	PPH1|type 2A-related serine/threonine-protein phosphatase SIT4|L000001901	transcriptional regulator OPI1|L000001303	Phenotypic Enhancement	genetic	Shirra MK (2005)	15716495	559292	559292	Low Throughput	-	-	protein activity	sit4 opi1 double mutants have increased INO1 promoter activity, measured by lacZ expression	-	BIOGRID
198311	851457	855926	31961	36006	YDL101C	YPL177C	DUN1	CUP9	serine/threonine protein kinase DUN1|L000000531	L000000442	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
721609	851457	850928	31961	31498	YDL101C	YLR228C	DUN1	ECM22	serine/threonine protein kinase DUN1|L000000531	L000004375	Dosage Lethality	genetic	Douglas AC (2012)	23050238	559292	559292	High Throughput|Low Throughput	-	-	inviable	-	-	BIOGRID
798057	851457	853751	31961	34024	YDL101C	YKL109W	DUN1	HAP4	serine/threonine protein kinase DUN1|L000000531	transcription factor HAP4|L000000754	Dosage Lethality	genetic	Douglas AC (2012)	23050238	559292	559292	High Throughput	-	-	inviable	conditional SDL hits in 0.001% MMS (5 Generations of treatment)	-	BIOGRID
2355538	851457	855522	31961	35635	YDL101C	YNL199C	DUN1	GCR2	serine/threonine protein kinase DUN1|L000000531	L000000691	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-4.3	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2356960	851457	855656	31961	35755	YDL101C	YNL068C	DUN1	FKH2	serine/threonine protein kinase DUN1|L000000531	forkhead family transcription factor FKH2|L000002608	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	2.95	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2090661	851421	850429	31927	31041	YDL134C	YCR065W	PPH21	HCM1	phosphoprotein phosphatase 2A catalytic subunit PPH21|L000001472	L000000757	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.128	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: pph21 - hcm1 [SGA score = -0.1280, P-value = 0.02535]	-	BIOGRID
2356424	851421	855828	31927	35915	YDL134C	YPL248C	PPH21	GAL4	phosphoprotein phosphatase 2A catalytic subunit PPH21|L000001472	GAL81|galactose-responsive transcription factor GAL4|L000000661	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	2.53	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2357121	851421	851247	31927	31777	YDL134C	YAL051W	PPH21	OAF1	phosphoprotein phosphatase 2A catalytic subunit PPH21|L000001472	YAF1|oleate-activated transcription factor OAF1|L000004197	Positive Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	2.35	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
